pathway;Glucagon;Relaxin;AMPK;MAPK;GnRH;ErbB;Thyroid hormone;Ras;Insulin;Notch;B cell receptor;TNF;AGE-RAGE;cGMP-PKG;Ovarian steroidogenesis;Rap1;Hedgehog;RIG-I-like receptor;Calcium;C-type lectin receptor;Chemokine;Estrogen;PI3K-Akt;FoxO;Fc epsilon RI;Oxytocin;TGF-beta;HIF-1;mTOR;JAK-STAT;Sphingolipid;Adipocytokine;IL-17;Wnt;NF-kappa B;p53;Apelin;VEGF;Phospholipase D;T cell receptor;Toll-like receptor;Hippo;Prolactin;cAMP;Neurotrophin;NOD-like receptor
Sphingolipid;5;12;2;11;13;9;11;27;11;0;9;3;7;30;0;13;0;0;4;3;8;16;62;11;36;27;1;4;12;1;262;2;0;1;1;0;16;30;16;11;4;0;8;11;11;0
Adipocytokine;7;0;16;1;0;0;0;0;19;0;3;9;2;0;0;0;0;2;0;0;7;0;2;7;0;7;0;0;0;4;2;182;2;0;1;0;0;0;0;3;2;0;2;0;3;4
IL-17;0;20;0;9;3;3;0;0;0;0;4;10;24;0;0;0;0;6;0;9;0;0;0;0;0;6;0;0;0;0;0;2;368;0;0;0;0;0;0;30;35;0;2;0;6;34
Wnt;0;4;0;11;8;0;1;0;0;0;15;0;3;21;0;0;3;0;12;20;5;0;0;0;0;21;0;0;43;0;1;0;0;1195;0;1;0;5;0;15;0;234;0;1;0;0
NF-kappa B;0;0;0;5;0;1;0;1;0;0;2;8;0;0;0;0;0;2;0;2;1;0;2;0;0;0;0;0;1;0;1;1;0;0;44;0;0;1;0;4;3;0;1;0;1;2
p53;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;69;0;0;0;0;0;0;0;0;1;0
Apelin;6;107;9;12;15;14;9;13;22;1;9;2;4;59;0;14;0;0;53;6;101;23;16;10;9;80;4;11;13;4;16;0;0;0;0;0;873;12;6;9;4;6;8;36;9;0
VEGF;0;12;0;37;11;37;21;46;12;0;33;20;22;14;0;28;0;0;9;27;32;36;19;9;43;32;0;22;9;19;30;0;0;5;1;0;12;161;6;32;22;0;14;24;34;0
Phospholipase D;1;31;2;59;26;19;11;89;23;0;8;2;1;9;10;57;0;0;21;1;13;33;53;16;23;15;0;19;17;2;16;0;0;0;0;0;6;6;456;8;4;0;14;23;14;0
T cell receptor;0;24;3;35;17;56;15;16;17;0;67;37;26;21;0;27;0;8;0;47;44;29;17;14;22;28;0;22;14;19;11;3;30;15;4;0;9;32;8;275;43;0;15;24;50;15
Toll-like receptor;0;30;0;32;21;31;4;4;4;0;29;59;45;4;0;30;0;26;0;29;23;22;11;4;18;8;0;22;4;18;4;2;35;0;3;0;4;22;4;43;218;0;6;22;31;51
Hippo;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;8;0;0;26;0;0;0;0;0;0;234;0;0;6;0;0;0;0;423;0;0;0;0
Prolactin;0;16;0;16;16;23;17;20;23;0;15;2;7;6;1;8;0;0;0;2;32;26;23;19;16;10;0;4;16;16;8;2;2;0;1;0;8;14;14;15;6;0;192;8;26;0
cAMP;1;43;0;13;15;26;6;15;11;0;33;20;18;18;15;128;6;0;38;18;66;56;6;8;15;51;1;22;8;18;11;0;0;1;0;0;36;24;23;24;22;0;8;1019;30;0
Neurotrophin;0;27;9;70;53;64;18;64;49;0;43;37;33;6;0;41;0;6;41;24;61;39;67;37;29;45;0;22;41;21;11;3;6;0;1;1;9;34;14;50;31;0;26;30;410;9
NOD-like receptor;0;11;0;9;3;3;0;0;0;0;8;13;24;0;0;0;0;72;0;17;8;0;0;0;0;2;0;0;0;0;0;4;34;0;2;0;0;0;0;15;51;0;0;0;9;337
